supplierId:ID(Supplier),CompanyName,ContactName,ContactTitle,Address,City,Region,PostalCode,Country,Phone,Fax,HomePage,labels:LABEL
1,小米智能家居,陈玲,业务经理,山西省汕尾市徐汇通辽路C座 213268,香港市,浙江省,827921,中国,13838936017,13786023178,http://www.小米智能家居.com,Supplier
2,华为智能生活,彭玉英,市场总监,福建省东莞市锡山齐齐哈尔路e座 267521,宁德市,山东省,936654,中国,13119127591,13088388164,http://www.华为智能生活.com,Supplier
3,苹果智能家庭,聂建,销售代表,宁夏回族自治区澳门市清城潘街s座 876200,澳门县,河北省,599770,中国,18905985569,18845197688,http://www.苹果智能家庭.com,Supplier
4,亚马逊智能科技,秦秀芳,销售代表,江苏省建军县金平李路Y座 658848,海门市,内蒙古自治区,230200,中国,14534563076,15967571866,http://www.亚马逊智能科技.com,Supplier
5,谷歌智能设备,程佳,业务经理,青海省成都县怀柔武汉街P座 991108,深圳市,天津市,319245,中国,18508210025,15696183309,http://www.谷歌智能设备.com,Supplier
6,三星智能家电,许冬梅,CTO,内蒙古自治区敏市长寿汪路K座 887303,伟市,黑龙江省,205032,中国,15604454726,18806755379,http://www.三星智能家电.com,Supplier
7,飞利浦智能照明,张英,销售经理,海南省淑珍县静安六安街w座 364174,巢湖县,浙江省,351051,中国,13401969182,13960941477,http://www.飞利浦智能照明.com,Supplier
8,海尔智慧家庭,邓燕,市场总监,天津市北京县门头沟凌路I座 640068,潮州县,北京市,534661,中国,18691717174,15796919633,http://www.海尔智慧家庭.com,Supplier
9,美的智能科技,宁秀梅,业务经理,陕西省嘉禾县丰都兴城路f座 991563,军县,湖南省,588337,中国,18294296519,13994883243,http://www.美的智能科技.com,Supplier
10,格力智能电器,陈雷,销售经理,江苏省西宁市沈河上海路l座 217571,秀华市,河南省,181324,中国,14789361931,18505127363,http://www.格力智能电器.com,Supplier
11,博世智能系统,杨波,销售代表,宁夏回族自治区云市朝阳张路g座 531646,柳县,湖南省,887875,中国,18571914852,18946904672,http://www.博世智能系统.com,Supplier
12,西门子智能家居,马慧,销售代表,香港特别行政区巢湖县朝阳上海路a座 780002,六安县,贵州省,683227,中国,13412389494,18056033778,http://www.西门子智能家居.com,Supplier
13,松下智能电器,张兰英,CTO,西藏自治区欣县海陵朱路z座 801520,林市,香港特别行政区,730516,中国,13632079536,14567457146,http://www.松下智能电器.com,Supplier
14,索尼智能科技,李畅,销售代表,吉林省瑜县合川郭街k座 615812,潜江县,吉林省,737899,中国,13095342062,18797749889,http://www.索尼智能科技.com,Supplier
15,LG智能家电,苏浩,业务经理,湖南省佳市高明台北街d座 746986,芳市,江西省,411788,中国,15174728893,18553341961,http://www.lg智能家电.com,Supplier
